deceptive,text
truthful,stai for on night getawai with famili thursdai tripl aaa rate wa steal floor room complet with plasma bose stereo voss and evian water and gorgeou bathroom tub but wa fine for concierg wa veri help you cannot beat thi locat onli flaw wa breakfast wa pricei and servic wa veri veri slow hour for four kid and four adult fridai morn even though there were onli two other tabl the restaur food wa veri good wa worth the wait would return heartbeat gem chicago
truthful,tripl rate with upgrad view room wa less than which also includ breakfast voucher had great view river lake wriglei bldg tribun bldg most major restaur shop sightse attract within walk distanc larg room with veri comfort bed
truthful,thi come littl late final catch review from the past sever month dear friend and stai the hyatt regenc late octob for on night while visit friend and her husband from out town thi hotel perfect imo easi check and check out love clean comfort room with great view the citi know thi area pretti well and veri conveni mani downtown chicago attract had dinner and went clube with our friend around divis had problem get cab back and forth the hyatt and there even public transport right near but didn bother sinc onli need cab from and the hotel park usual for chicago wa expens but were abl get our car out quickli howev left sundai morn not exactli high traffic time although wa bear homegam dai bit busier than usual would think problem all and the best part that got rate through hotwir downright steal for thi area chicago and the qualiti the hotel
truthful,the omni chicago realli deliv all front from the spacious the room the help staff the prize locat michigan avenu while thi address chicago requir high level qualiti the omni deliv check for myself and whole group peopl with wa under minut the staff had plenti recommend for dine and event and the room ar some the largest you find thi price rang chicago even the standard room ha separ live area and work desk the fit center ha free weight weight machin and two row cardio equip share the room with other and did not feel cramp ani wai all all great properti
truthful,ask for high floor awai from the elev and that what got the room wa pleasantli decor function and veri clean didn need whole lot servic but when did thei were pleasant and prompt us the fit center which wa well equip and everyth wa work order great locat on end the michigan avenu shop district
truthful,stai the omni for on night follow busi meet anoth downtown chicago hotel wa complet impress the servic all personnel dure stai were absolut outstand check quit earli problem and wa effici check room had somewhat heavi scent air freshen the onli neg from the entir stai which wa manag reason well open the window don gener requir much dure hotel stai but suffic sai the doorman housekeep the night manag and bartend the dai waiter and the concierg were amaz never wait more than about second for anyth the room wa veri comfi and the amen were superior on veri tini complaint there wa wastebasket near the sink near the wet bar had walk the other end the bathroom sit room dispos kleenex coffe paraphernalia on wastebasket would make all the differ all that said what great hotel thank omni had great stai
truthful,stai the conrad for night just befor thanksgiv had corner room overlook michigan and the tribun build sai thi star hotel damn thi place with faint prais wonder the staff were unbeliev help the standard the room wa superb plasma screen luxuri bedlinen ipod radio huge bathroom locat unbeat right the heart everyth watch the whole light festiv parad from the window breakfast were excel help yourself buffet here with full and attent tabl servic would have hesit recommend stai again thi hotel out
truthful,just got back from dai chicago shop with girlfriend first time have stai the omni did becaus saw rate that includ free food travelzoo the three year old all stai on suit with doubl bed and veri comfort pull out sofa had plenti room food the restaur wa great servic wa outstand from everon came into contact with earli morn deliveri free coffe juic and hot chocol wa fabul and recommend from the staff where eat time movi shop area etc wa realli help need mention the outstand locat simpli the best all decid that the omni our new favorit hotel
truthful,arriv the omni septemb for dai stai took ill when left the plane after travel from manchest saw more the room than anticip couldn out for dai the room wa spaciou and clean the bed wa extrem comfort the bathroom wa larg and veri clean what more could you ask had coffe and juic left outsid our door everi morn the time request manag the floor see the sun terrac outsid the gym have sun terrac citi hotel great idea but the terrac wa bit grim few sunb concret floor there wa also nois from air condit unit could with bit cheer what saw chicago wa veri pleas ha someth for everyon would back the omni ye would
