temp_max,temp_avg,temp_min,prec,wd,ws,atmos_pres_avg,atmos_pres_min,atmos_pres_max,rh,ceil_hgt,visibility,FMA
13,11.33333333,10,0,128,7.2,1022.328571,1020.8,1023.8,82.21666667,4116.666667,15383.33333,0
14,11.2,10,3,312.5,6.2,1020.375,1018.8,1021.9,84.54666667,16217.33333,12080,0
15,11.95238095,8,0,297.3684211,9.2,1020.085714,1019.1,1021.9,83.68571429,18158.23529,10523.80952,0
16,11.57142857,8,0,270,5.1,1022.65,1021.6,1024.1,82.3,22000,10400,0
16,13.36842105,10,0,196.25,4.1,1025.1375,1024,1027.3,77.28947368,22000,10915.78947,0
17,13.31578947,11,0,136.4285714,4.1,1027.7,1026.7,1028.6,77.5,14723.33333,9863.157895,0
17,13.22727273,10,0,154.5454545,6.2,1027.95,1026.4,1029.6,51.80909091,22000,11736.36364,0
17,13.04347826,10,0,158.1818182,7.2,1028.042857,1026.5,1029.5,51.23478261,22000,9695.652174,0
17,13.7,12,0,155.7894737,8.2,1027.771429,1026.7,1029,39.53,22000,10405,0
17,13.45,10,0,163.5714286,5.1,1026.2,1024,1028.2,49.57,22000,9810,0
19,13.75,11,0,191.1111111,5.1,1024.657143,1022.5,1026.9,34.5,22000,11793.75,0
19,13.06666667,10,0,246.3636364,7.2,1024.157143,1022.6,1025.5,42.94285714,22000,12193.33333,0
16,11.30434783,8,0,241.3333333,7.2,1026.75,1025.1,1027.7,85.18181818,22000,10521.73913,0
15,11.65,8,300,195.3333333,6.1,1027.6,1025.9,1028.8,80.355,22000,10415,1
17,11.8,9,0,261.6666667,6.1,1026.525,1024.1,1028.3,81.615,22000,11165,0
15,12.5,10,0,179.2857143,7.2,1027.716667,1026.4,1029.4,89.83333333,1710.625,10327.77778,0
14,12.40909091,11,0,138.9473684,8.2,1027.942857,1027.3,1028.5,90.95,4275.454545,10618.18182,0
14,11.76190476,10,0,132,7.2,1027.228571,1025.9,1028.8,92.35238095,11665.78947,8552.380952,0
15,11.80952381,10,0,143.125,8.2,1026.725,1025.2,1027.8,89.91904762,18368.33333,10452.38095,0
17,13.73333333,10,0,173.6363636,5.1,1026.928571,1025.6,1027.8,63.45333333,19257.5,9073.333333,0
15,12.2,10,0,152.2222222,5.1,1027.985714,1026.3,1029.3,68.855,22000,10638.09524,0
14,11.31578947,8,0,142,4.1,1026.575,1024.9,1028,78.5,16588.125,11252.63158,0
13,11.2,9,0,131.6666667,8.2,1026.028571,1025,1027,79.24210526,5213.888889,11640,0
14,11.10526316,9,0,136.875,6.1,1025.5125,1024.1,1027.1,84.98947368,19106.66667,11521.05263,0
14,10.36842105,8,0,135.7142857,6.1,1025.85,1024.8,1026.8,82.65263158,22000,11305.26316,0
14,10.38095238,7,0,127.5,7.2,1026.914286,1026.3,1027.8,79.62857143,22000,11071.42857,0
15,11.6,10,0,127.0588235,7.2,1025.6,1023.9,1027.2,86.52,17187.77778,10940,0
15,11.73684211,10,0,258.75,9.2,1023.4625,1021.8,1025.5,81.38947368,15985.55556,13825,0
15,11.89473684,10,0,298.8235294,6.1,1022.4,1020.9,1023.9,78.42631579,13551.11111,11984.21053,0
13,11.40909091,10,6,304.7826087,7.2,1022.414286,1021.7,1023.6,88.57727273,3358.571429,9030.434783,0
15,11.81818182,9,0,303.3333333,6.1,1023.2,1021.8,1024.7,84.83636364,12382.22222,11195.45455,0
15,11.95,9,0,289.5,8.2,1022.6,1021.3,1023.6,81.54,13592.77778,11252.38095,0
16,12.2,10,0,312,7.2,1023.085714,1021.9,1023.9,85.87,20848.42105,11630,0
14,11.95833333,9,0,146.4705882,5.1,1024.7875,1023.5,1026,82.14166667,13873.75,11241.66667,0
15,11.39130435,9,0,171.7647059,7.2,1026.2875,1025.1,1027.3,73.9826087,18228.69565,11512.5,0
17,12.28571429,9,0,182.7777778,8.2,1025.8,1023.8,1027.5,80.13333333,14762.66667,11185.71429,0
