deceptive,text
truthful,1.1497195 -0.4849438 0.2138496 0.6595494 1.070671 0.9223905 0.77145123 1.0595018 0.5502793 -0.6346285 0.1391211 0.014264026 -0.5726522 0.023257814 0.26033676 0.7348526 0.4349368 1.0014937 0.80711085 -1.0679615 -1.1536433 -0.9210155 0.31867594 -0.5193244 0.8462995 -0.3406611 -0.93471354 -1.0701069 0.42761979 0.2631161 0.615996 0.3218695 -0.6405978 0.13698795 0.39788675 0.75599587 0.6103177 0.43744954 -0.24414015 0.8836976 0.32047248 -0.79798204 -0.1776438 0.67461306 0.21088625 -1.0567366 -1.0482333 0.5400409 0.9226049 0.3335591 -0.29103893 -0.22651576 -0.17708102 -0.07900496 0.033245627 -0.12716588 -0.66072667 1.1348023 -0.2630993 0.38955602 0.7791694 0.9255022 0.8872833 0.07019588 0.8560297 -0.6069819 -0.42713055 -0.5898966 -0.2979654 0.6378313 -0.2046041 -0.07654553 -0.6802062 -1.1506853 -0.36380395 -0.9251737 -0.48101 0.95681375 -0.61818177 0.42848468 0.29546332 -0.19401483 -0.2967415 -0.025791535 0.8181659 -0.7866298 -0.39194116 0.93026125 0.2454892 0.97490984 0.32711414 -0.2894098 -1.1392893 -0.8905945 -0.5492004 0.3201816 -1.1968985 0.3297466 -0.2532769 -0.8031954 1.1135004 1.0059988 0.6908333 -0.7170588 -0.7660532 1.1518484 -0.759995 -0.29337806 -0.43034053 -0.6921119 -0.9354668 -0.40441635 0.7489093 -0.0418077 -0.22831921 -0.6879684 -0.86263484 0.13255115 0.39284745 -1.0999 -0.2752535 0.93987334 -0.45689827 1.2155964 0.7292598 -0.7642175 1.0221773 -1.0008581 -1.139384 1.0719994 -0.8655169 -0.6395728 0.6261944 0.9900071 0.86762816 -0.12114497 -0.88792926 0.67070127 -0.363196 -0.551441 -0.87019545 -0.5270956 0.74545294 -0.36514208 0.69796526 -0.81280494 0.68879694 0.12169684 -0.8209931 -0.2672001 0.86057353 -0.16461074 -0.8901681 0.29982117 -0.8801338 -0.032343064 -0.5653161 -0.37611938 -0.1436029 0.40673253 -0.5676482 -1.0093727 -0.22629474 -0.5190494 0.09257807 0.93216383 -1.0765641 0.6412046 -1.0341196 -0.41518974 -0.747581 0.7754221 -0.60353386 -0.5982368 0.21542437 -0.95847124 -1.0007145 -0.84337693 -0.59729314 -0.3708661 -0.1822614 0.037971687 0.8556671 -0.78464854 0.31627473 -0.88373965 1.1528885 -0.97911316 -0.18684548 0.80736786 -0.6070748 -0.5775424 -0.96138227 -0.59389865 0.7591441 -1.2343229 0.22649999 -0.015918512 0.7309296 -0.46136615
truthful,1.1523217 -0.48768425 0.21521644 0.6577057 1.0754539 0.92723835 0.7727058 1.0647529 0.5554764 -0.6362385 0.13508673 0.015475151 -0.57487684 0.019263087 0.2638745 0.73738444 0.43557405 1.0082557 0.8100772 -1.0733151 -1.1530985 -0.92695934 0.31860828 -0.52128106 0.85116225 -0.34202528 -0.94136727 -1.0737244 0.42971975 0.26217648 0.6164664 0.3233655 -0.6382174 0.1398872 0.40022397 0.75881344 0.6132161 0.43929666 -0.24220535 0.8825772 0.31859088 -0.7965937 -0.17676315 0.6769608 0.2113957 -1.0597339 -1.0451939 0.53811294 0.9245468 0.33550775 -0.29278135 -0.22433843 -0.17499015 -0.07958729 0.03632868 -0.12658575 -0.6591468 1.1343532 -0.26127964 0.38858414 0.7746399 0.92469037 0.88648295 0.070042014 0.854959 -0.60388345 -0.42532423 -0.5881508 -0.2976151 0.64125663 -0.20363337 -0.07289771 -0.68041503 -1.1523682 -0.36242357 -0.92685604 -0.48327786 0.9574174 -0.6202508 0.42740154 0.29409972 -0.19242354 -0.29644024 -0.025905408 0.8136733 -0.78316444 -0.38725019 0.9323532 0.2479436 0.97320807 0.32555094 -0.28977945 -1.1393961 -0.8936155 -0.549532 0.31996262 -1.1971233 0.3323756 -0.2514393 -0.8016872 1.11484 1.0029999 0.69239426 -0.7166896 -0.7653867 1.1475216 -0.7633774 -0.29529253 -0.43133605 -0.69076806 -0.9380427 -0.4043669 0.7498061 -0.041995663 -0.22821307 -0.6893993 -0.85826373 0.13228162 0.39358184 -1.1022382 -0.2738825 0.93875426 -0.4562135 1.2110491 0.72864074 -0.76308966 1.0215101 -0.999137 -1.1380385 1.0704856 -0.8638093 -0.6409621 0.62543017 0.98716074 0.8659905 -0.12164086 -0.88396084 0.6718291 -0.3603413 -0.54931635 -0.86628246 -0.5282795 0.7448142 -0.36461708 0.6963728 -0.8127613 0.6904944 0.124606326 -0.81567216 -0.26382178 0.8628317 -0.16591614 -0.8843277 0.2981054 -0.879817 -0.034588106 -0.56001097 -0.3775194 -0.14446194 0.4055452 -0.5690261 -1.0082393 -0.22640333 -0.51834494 0.09281608 0.93313646 -1.0788251 0.64286304 -1.0332271 -0.41385102 -0.7452519 0.77622694 -0.60230666 -0.59541595 0.21274735 -0.95744455 -1.0016961 -0.842383 -0.5944657 -0.37210453 -0.18238015 0.0372533 0.8545987 -0.7862228 0.31376794 -0.88174915 1.1543578 -0.98012376 -0.18203938 0.80424845 -0.6091727 -0.57535625 -0.9606546 -0.59444565 0.75841534 -1.2334075 0.22214419 -0.016435016 0.7297194 -0.45884103
truthful,1.1525018 -0.4866817 0.21568933 0.6600023 1.0698658 0.9230735 0.76931816 1.0586072 0.5544351 -0.63539875 0.13790677 0.015668735 -0.57270265 0.021537544 0.26513103 0.73328626 0.43817112 1.0041164 0.8043205 -1.0709771 -1.1516601 -0.92392606 0.3201815 -0.52364045 0.8471616 -0.34046194 -0.9360226 -1.0689048 0.4301673 0.26367152 0.6141916 0.32317248 -0.6397784 0.13890648 0.39706323 0.7572008 0.6094907 0.43752086 -0.24267508 0.8808461 0.32023683 -0.7962471 -0.1790534 0.6738337 0.20903257 -1.0594314 -1.0464306 0.5399069 0.9217771 0.3336633 -0.2919969 -0.22531095 -0.17621371 -0.07574828 0.037539817 -0.12751803 -0.6606627 1.132456 -0.2604824 0.38589782 0.7762418 0.9261379 0.89022607 0.0693207 0.85466146 -0.60308033 -0.42424005 -0.58910644 -0.30104315 0.64076746 -0.20252687 -0.0756258 -0.68009996 -1.1516427 -0.3619052 -0.9260885 -0.48122534 0.95504373 -0.6184197 0.43004853 0.29483816 -0.19589758 -0.2964762 -0.02952601 0.81749094 -0.7850958 -0.39169127 0.93357635 0.2474211 0.9733303 0.32470366 -0.2919475 -1.1390082 -0.8933228 -0.5500974 0.3208452 -1.1980658 0.33309618 -0.2519818 -0.8047747 1.1177267 1.0051739 0.69452834 -0.7146002 -0.76571596 1.1509159 -0.760441 -0.292677 -0.43229648 -0.69419587 -0.9394784 -0.4007258 0.7529632 -0.04379381 -0.22734344 -0.68972814 -0.8632148 0.13333149 0.39335355 -1.1035324 -0.27630126 0.94378334 -0.45550618 1.2149676 0.7286292 -0.76351327 1.0199431 -1.0008451 -1.1389693 1.0695888 -0.8650404 -0.64351094 0.62573934 0.99163514 0.86677325 -0.1197401 -0.88775384 0.67288613 -0.36038592 -0.5520265 -0.8707354 -0.5283792 0.74393654 -0.36525258 0.69745994 -0.81315655 0.6890121 0.12051621 -0.82091147 -0.2674103 0.8604622 -0.16719264 -0.8890817 0.29917833 -0.8810801 -0.03140901 -0.562174 -0.37784675 -0.1430697 0.40818852 -0.5688316 -1.011602 -0.22811194 -0.5205668 0.09154982 0.93555176 -1.0804355 0.6407699 -1.0335946 -0.41749972 -0.747159 0.77551436 -0.60414064 -0.60011476 0.21568036 -0.9582282 -1.0046823 -0.8442644 -0.59761626 -0.3706794 -0.18105902 0.037843022 0.8554639 -0.78545284 0.31768307 -0.8852231 1.157198 -0.9779045 -0.18237399 0.8098975 -0.6101419 -0.57825184 -0.9606603 -0.5942123 0.7587753 -1.2355078 0.22620654 -0.014695295 0.7299487 -0.45927033
truthful,1.1523203 -0.49060196 0.2138204 0.65887594 1.0717759 0.9277582 0.7716874 1.0615581 0.55511 -0.6330415 0.1389541 0.015860587 -0.5754373 0.018558022 0.26129803 0.73635817 0.4360636 1.0028356 0.80611426 -1.0718372 -1.1562169 -0.9265075 0.3225199 -0.52073544 0.8477841 -0.34043527 -0.94010854 -1.0710115 0.43092316 0.26171312 0.6156797 0.3231364 -0.6368286 0.13791528 0.39925358 0.7552701 0.60964316 0.4393417 -0.2433143 0.8810611 0.32277936 -0.79744506 -0.17613031 0.6729099 0.21009427 -1.0584397 -1.0477396 0.5409124 0.9199506 0.33589604 -0.29148626 -0.22354072 -0.1779208 -0.076743826 0.035273172 -0.12474357 -0.6606266 1.1328582 -0.26191077 0.3888654 0.7764581 0.9243233 0.88878405 0.06909506 0.854217 -0.60280806 -0.42371354 -0.5907819 -0.29831767 0.6381493 -0.20245434 -0.07475069 -0.67719656 -1.1497895 -0.36306956 -0.927904 -0.48212314 0.95687246 -0.6207463 0.42704856 0.29169437 -0.19304195 -0.29662684 -0.026993955 0.81561697 -0.7859317 -0.3888939 0.930553 0.24412805 0.9728494 0.32717225 -0.2930123 -1.1418923 -0.8916496 -0.5508319 0.3207475 -1.197996 0.3287909 -0.25004953 -0.8038563 1.1136595 1.003766 0.6924118 -0.71699935 -0.767601 1.1500207 -0.7605202 -0.29343966 -0.43093985 -0.6912962 -0.93534046 -0.40184814 0.751902 -0.044522654 -0.23058508 -0.6889081 -0.85818064 0.13455968 0.39010924 -1.0979097 -0.27635244 0.9402645 -0.45820293 1.2116634 0.7288937 -0.7626099 1.0197597 -0.99822384 -1.137655 1.0680425 -0.8656083 -0.6413042 0.6274084 0.9888845 0.86766756 -0.11890207 -0.88409746 0.6723481 -0.35974756 -0.5545585 -0.86918885 -0.5303461 0.74650294 -0.36306584 0.69689953 -0.81335944 0.68851906 0.12399918 -0.8174474 -0.26350877 0.8599412 -0.1652587 -0.8858208 0.299464 -0.8794382 -0.031708468 -0.56267995 -0.37677348 -0.14289847 0.40703517 -0.5698002 -1.0074277 -0.22515838 -0.52153474 0.08931749 0.93317205 -1.077413 0.63990253 -1.0336617 -0.41396347 -0.74573237 0.7744831 -0.6030559 -0.5955923 0.21473397 -0.95888627 -1.0023514 -0.84510523 -0.59788847 -0.37048146 -0.18122238 0.034447677 0.85417515 -0.78643084 0.3173794 -0.8848794 1.1522437 -0.9785665 -0.18198723 0.8073391 -0.6089023 -0.57567436 -0.96119195 -0.59270626 0.7585184 -1.2317582 0.22209214 -0.0173166 0.7308214 -0.45986074
truthful,1.1506703 -0.4868642 0.21193102 0.66041434 1.0691223 0.92402846 0.7721234 1.0609834 0.55507237 -0.6329006 0.13463625 0.013859161 -0.57209617 0.021573577 0.2607553 0.7331346 0.4382651 1.0059259 0.8084907 -1.072722 -1.1514164 -0.9261014 0.3225493 -0.5232071 0.8486994 -0.34107697 -0.93750554 -1.0718871 0.42769417 0.26411328 0.61493564 0.32102337 -0.63656986 0.14153129 0.39878553 0.7580727 0.6103895 0.43513408 -0.24175394 0.88274884 0.3208628 -0.7963402 -0.17632492 0.6745892 0.2090317 -1.0576457 -1.045333 0.5373526 0.924371 0.33490425 -0.28969607 -0.22377935 -0.17802991 -0.07753135 0.033069614 -0.12355621 -0.65844107 1.1355566 -0.26237103 0.38707533 0.77854455 0.92466 0.8879491 0.06709106 0.85519797 -0.6031251 -0.42459118 -0.58974755 -0.29838067 0.6375444 -0.20274569 -0.07433448 -0.6792969 -1.1498065 -0.36032015 -0.9267948 -0.48163936 0.9574522 -0.6182272 0.4283111 0.2931586 -0.19215968 -0.2944614 -0.02933395 0.81480414 -0.78173685 -0.39112806 0.93427056 0.24567889 0.97256744 0.32891864 -0.29287258 -1.1401378 -0.89156675 -0.5509866 0.32109502 -1.1980225 0.33226258 -0.25011143 -0.80214274 1.113152 1.005922 0.6915802 -0.71336013 -0.7653672 1.1464527 -0.7607579 -0.29590192 -0.43182892 -0.69442266 -0.9367826 -0.40454403 0.74998164 -0.043438602 -0.23117392 -0.686 -0.86271805 0.1329566 0.39046562 -1.1025375 -0.27295732 0.94222534 -0.4541364 1.2140101 0.7250157 -0.76144344 1.0189111 -0.9998332 -1.1395314 1.0704538 -0.8640746 -0.6418668 0.6243864 0.9902613 0.8689792 -0.1226439 -0.88498485 0.670663 -0.36315888 -0.55053604 -0.8665777 -0.5306059 0.74402595 -0.36473837 0.6947941 -0.8101711 0.6877205 0.12351217 -0.81920004 -0.2673111 0.86203605 -0.16474158 -0.8863177 0.30071175 -0.8790883 -0.03140235 -0.563457 -0.37396267 -0.14352454 0.4084988 -0.5677588 -1.0069418 -0.2264176 -0.52257776 0.09260332 0.9341671 -1.0792708 0.6416213 -1.0303301 -0.41404456 -0.7447763 0.779216 -0.6000623 -0.59560305 0.21179003 -0.95621395 -1.0040138 -0.8458187 -0.5955406 -0.37126005 -0.18014154 0.03481932 0.8579749 -0.78319234 0.31480387 -0.8812542 1.1550282 -0.98099875 -0.18347284 0.8069583 -0.6103248 -0.576714 -0.96002614 -0.59148836 0.7596518 -1.2345766 0.22500898 -0.015058073 0.73398906 -0.45978132
truthful,1.1485415 -0.486932 0.21439274 0.6566466 1.070471 0.9240192 0.7683956 1.0598942 0.55030227 -0.6298996 0.13534969 0.017028606 -0.5698275 0.019377345 0.2622064 0.73394597 0.43621168 0.99954844 0.80756974 -1.0697341 -1.1479889 -0.92177117 0.31963074 -0.5193311 0.84358054 -0.3397879 -0.9368442 -1.069183 0.42789274 0.26394838 0.61295575 0.32338813 -0.63652843 0.13950533 0.39743373 0.7544359 0.6121374 0.43647102 -0.24233344 0.879145 0.31929857 -0.79458106 -0.17760623 0.67311436 0.21125124 -1.0585423 -1.0440937 0.53878295 0.92152745 0.3369075 -0.29109848 -0.22475128 -0.17515372 -0.07617787 0.032903247 -0.12280672 -0.6593401 1.1350088 -0.26013178 0.38881677 0.77519995 0.9263384 0.8864935 0.0715867 0.8530433 -0.60336214 -0.42760143 -0.5879689 -0.29627523 0.640849 -0.20489298 -0.07343181 -0.6808457 -1.150155 -0.36362183 -0.9269102 -0.48243508 0.95543283 -0.6202926 0.427961 0.29195982 -0.19456302 -0.29424557 -0.02740551 0.8164471 -0.78279144 -0.39139053 0.9310038 0.24412991 0.97224236 0.32495475 -0.2902241 -1.1382658 -0.89301556 -0.5485266 0.3203132 -1.1960082 0.3309052 -0.25022027 -0.8029634 1.1143372 1.0063387 0.69019604 -0.71645427 -0.7664128 1.1500878 -0.7636687 -0.29134122 -0.4336618 -0.69285065 -0.93509763 -0.4000447 0.74963385 -0.04125782 -0.23054431 -0.6883347 -0.8621837 0.13163662 0.389525 -1.0988319 -0.2723908 0.9391842 -0.45811027 1.2117573 0.7283653 -0.7633315 1.0199553 -0.9972381 -1.1385465 1.069214 -0.8655385 -0.6388129 0.6268474 0.98998284 0.87019515 -0.118625276 -0.8835757 0.6717845 -0.3638799 -0.5524941 -0.86588115 -0.527165 0.7427938 -0.36327672 0.6939174 -0.81263435 0.68774325 0.123018235 -0.81687766 -0.26264256 0.85869104 -0.16431926 -0.88674736 0.29858682 -0.8783971 -0.030969774 -0.5635129 -0.37394705 -0.14410837 0.40688112 -0.57025677 -1.010015 -0.22682795 -0.5190152 0.093189165 0.9352317 -1.0804957 0.6421823 -1.033628 -0.416909 -0.7497588 0.7777773 -0.6023715 -0.600427 0.21617468 -0.9557568 -1.0008011 -0.84328943 -0.5989474 -0.37121904 -0.18351899 0.037188414 0.859038 -0.7847842 0.31550837 -0.88184595 1.1576984 -0.9789723 -0.18676205 0.8076319 -0.6109289 -0.5792516 -0.95886445 -0.59224975 0.75953394 -1.2324408 0.22402276 -0.015475883 0.73298377 -0.4607625
truthful,1.1571966 -0.4916335 0.21596187 0.6579317 1.0737909 0.92591107 0.7702727 1.0636073 0.5561105 -0.63751864 0.13825692 0.015471029 -0.5731676 0.023395928 0.26421115 0.73718077 0.4364991 1.0052012 0.8096661 -1.0732068 -1.1529773 -0.9281147 0.3187003 -0.5207752 0.8500761 -0.34002873 -0.9410308 -1.0713782 0.42820573 0.26169482 0.6163456 0.3224903 -0.6363953 0.13753559 0.39653546 0.759143 0.6115847 0.43641356 -0.24243984 0.8828852 0.3193876 -0.79627967 -0.17804642 0.6731943 0.21174867 -1.0605475 -1.0476938 0.54175264 0.9239344 0.33425882 -0.29256785 -0.22476779 -0.17711028 -0.07734053 0.034246188 -0.12534916 -0.6606134 1.1376249 -0.2625614 0.3896935 0.7754952 0.92616004 0.8886419 0.06774222 0.85500515 -0.6069205 -0.4281874 -0.5890534 -0.2995092 0.64206153 -0.20281114 -0.07292973 -0.6805322 -1.1506786 -0.36114264 -0.92917496 -0.48133618 0.955631 -0.61792207 0.42920154 0.29584605 -0.19534524 -0.29419008 -0.028736146 0.81589454 -0.7862809 -0.38954043 0.93324786 0.2456856 0.97348255 0.32474336 -0.2902839 -1.1417423 -0.8908602 -0.5503522 0.31937245 -1.193719 0.32911998 -0.25333336 -0.80038047 1.1171684 1.0054343 0.6911459 -0.71320134 -0.768124 1.1482437 -0.7603678 -0.2946789 -0.42931643 -0.69107693 -0.93739104 -0.40281373 0.75033766 -0.042892504 -0.23063986 -0.6851526 -0.8614657 0.13355264 0.3920362 -1.0978514 -0.27244937 0.9434167 -0.45631915 1.2140901 0.72456115 -0.76206136 1.0177315 -0.9981915 -1.140684 1.0678325 -0.8632468 -0.6406527 0.6268435 0.9880897 0.86692834 -0.12083232 -0.88666844 0.67475885 -0.36264083 -0.5541054 -0.87112206 -0.5287588 0.74658084 -0.36486915 0.69815516 -0.81269264 0.6890499 0.12436884 -0.81873 -0.26274845 0.86205786 -0.16641875 -0.890309 0.29906636 -0.8783239 -0.033328462 -0.5622334 -0.37856728 -0.14143866 0.40527037 -0.5688674 -1.0066632 -0.22819406 -0.5206852 0.09260354 0.93224686 -1.0744885 0.63968414 -1.0303996 -0.41693047 -0.74406964 0.77858984 -0.6013754 -0.59657145 0.21187057 -0.9569497 -1.0029227 -0.8425105 -0.59688926 -0.37047803 -0.1840405 0.038122047 0.85736734 -0.78501856 0.31544745 -0.88172287 1.1541576 -0.98015356 -0.18609387 0.8039735 -0.60777193 -0.57592225 -0.96064407 -0.59488994 0.7595254 -1.2331165 0.22537881 -0.013714429 0.73266876 -0.4594034
truthful,1.1529505 -0.48919022 0.21521413 0.6594689 1.0727636 0.92355084 0.76819235 1.0645357 0.5521753 -0.6326717 0.13602617 0.015228383 -0.57144 0.021948298 0.2608374 0.7357824 0.43731967 1.0045838 0.8063004 -1.0694377 -1.153041 -0.9242316 0.32051766 -0.5208345 0.849694 -0.34043086 -0.9372436 -1.0689435 0.42969176 0.26078984 0.6155063 0.32161084 -0.640369 0.13846761 0.40030184 0.75880444 0.61396414 0.43864566 -0.24577281 0.8822553 0.32214925 -0.7990409 -0.17952545 0.6786746 0.20913835 -1.0590578 -1.0454826 0.5411154 0.92595726 0.3355237 -0.29043108 -0.22333804 -0.17715873 -0.07629909 0.034219068 -0.1267115 -0.6614478 1.1396713 -0.25903404 0.38839155 0.77623886 0.9310791 0.8926219 0.069440484 0.8536121 -0.60617185 -0.42755607 -0.58863616 -0.29921108 0.64189476 -0.20546295 -0.07214944 -0.68144715 -1.1551285 -0.36091748 -0.92647034 -0.48159677 0.95952606 -0.6182906 0.4298197 0.29464456 -0.19576623 -0.29365617 -0.027514642 0.8184436 -0.78274226 -0.39253613 0.933393 0.24541382 0.9765514 0.32799786 -0.29125288 -1.1411651 -0.8908883 -0.552444 0.32075864 -1.1992729 0.33069035 -0.25423098 -0.8036871 1.1141294 1.0084442 0.6940767 -0.71353704 -0.7681402 1.1513449 -0.762938 -0.2953722 -0.43042472 -0.6906517 -0.9374745 -0.4005496 0.75293404 -0.03974492 -0.22944377 -0.6869385 -0.8605894 0.13498878 0.39073107 -1.0994728 -0.2759617 0.9416637 -0.45796868 1.2145556 0.7253774 -0.7650882 1.0217224 -1.0009295 -1.1405375 1.0680442 -0.86693853 -0.6428085 0.6265576 0.98853695 0.8693312 -0.12207779 -0.8868783 0.6727466 -0.36011353 -0.5516452 -0.8697201 -0.53153014 0.7443438 -0.36181334 0.69849575 -0.81461036 0.68669677 0.122742444 -0.81937957 -0.2658397 0.8626256 -0.16650565 -0.88673604 0.29799473 -0.88067245 -0.032227397 -0.56138206 -0.3784361 -0.14087667 0.40653718 -0.5701724 -1.0065601 -0.2257073 -0.5227805 0.09328606 0.933353 -1.0803044 0.642846 -1.0327349 -0.4140629 -0.74684143 0.7774593 -0.6014666 -0.5968708 0.2134914 -0.9560815 -1.0034672 -0.8425412 -0.5949659 -0.36901245 -0.18454531 0.039040584 0.8576778 -0.78345346 0.31417862 -0.8833005 1.1562111 -0.9804791 -0.18241924 0.8069582 -0.60766 -0.57466435 -0.9599751 -0.5928336 0.7590341 -1.2338898 0.22429842 -0.015151132 0.73216385 -0.4593353
truthful,1.1501293 -0.485031 0.21585071 0.6565404 1.0701984 0.9215322 0.76946914 1.0607384 0.5519932 -0.63257474 0.13542446 0.0164627 -0.5750843 0.021101924 0.26399133 0.73461765 0.43760243 1.0044644 0.80455345 -1.0691319 -1.1522112 -0.92366666 0.32224283 -0.52160496 0.8477771 -0.3388263 -0.93722576 -1.069911 0.4296605 0.26299697 0.61504364 0.32056978 -0.6370166 0.14153512 0.39706603 0.75663424 0.61394894 0.4374493 -0.24503508 0.8819379 0.32294536 -0.79824764 -0.17911832 0.6748471 0.21360339 -1.0592048 -1.046458 0.54131204 0.9244924 0.33585325 -0.2886575 -0.22289006 -0.17471126 -0.07783505 0.035935253 -0.12686871 -0.6587088 1.135703 -0.25960198 0.39009807 0.77819717 0.93079275 0.8929644 0.0673676 0.8553329 -0.6070311 -0.42746028 -0.5921522 -0.2979779 0.64074564 -0.20450372 -0.076802686 -0.68171 -1.1561897 -0.3613974 -0.9288335 -0.48498276 0.95599824 -0.6176404 0.42640814 0.29553622 -0.19323333 -0.29810342 -0.026944755 0.8193283 -0.7860384 -0.38822725 0.93376976 0.24459031 0.97758603 0.32524002 -0.29319954 -1.1437838 -0.8951075 -0.55169654 0.3208254 -1.201118 0.33219996 -0.2509877 -0.8039816 1.1188767 1.0085795 0.6945736 -0.7153286 -0.7699048 1.1531175 -0.7613439 -0.29547188 -0.4331165 -0.6951575 -0.94086933 -0.4032491 0.7531852 -0.043802425 -0.2282723 -0.69044745 -0.8642752 0.13402651 0.3911094 -1.1044842 -0.27588382 0.9448874 -0.46009904 1.2171644 0.72704774 -0.76741874 1.0247636 -0.9992739 -1.1411055 1.0736324 -0.86375004 -0.64266294 0.6244842 0.99005705 0.8682388 -0.12329155 -0.88885105 0.67557096 -0.36478233 -0.5516765 -0.870773 -0.5279363 0.7468365 -0.3629635 0.69971985 -0.81147146 0.6884816 0.12355107 -0.81858915 -0.2667861 0.86219937 -0.16679639 -0.8895846 0.300674 -0.87907404 -0.03184623 -0.56586325 -0.3752143 -0.1425449 0.40808314 -0.5721657 -1.0095791 -0.22445159 -0.522855 0.08934875 0.93787676 -1.0796058 0.64267045 -1.0354569 -0.41800222 -0.74896765 0.78050625 -0.60563314 -0.60202616 0.21696702 -0.9620664 -1.005344 -0.8475242 -0.5959062 -0.37199336 -0.18261959 0.03736357 0.86055094 -0.7867962 0.3189393 -0.88413095 1.1564114 -0.98201555 -0.18557107 0.80993307 -0.611019 -0.5764362 -0.96135867 -0.5948149 0.76044613 -1.2390759 0.22449647 -0.015049484 0.73207355 -0.4609997
truthful,1.1493173 -0.4854711 0.21597217 0.6582407 1.068269 0.923906 0.7692064 1.0599384 0.5520644 -0.6340207 0.13878915 0.013721887 -0.5728305 0.023037592 0.26506907 0.7316794 0.436183 1.000943 0.8051235 -1.0681423 -1.1512731 -0.9203985 0.3184822 -0.5221929 0.8479553 -0.34137884 -0.93602633 -1.0682905 0.43072444 0.26358238 0.61169577 0.32005188 -0.6386193 0.13709965 0.3971658 0.7557909 0.6114569 0.43658015 -0.2421726 0.88023746 0.32202625 -0.79573643 -0.17687166 0.67529804 0.21136527 -1.0561109 -1.0481135 0.542431 0.9243302 0.33585465 -0.29225084 -0.22465974 -0.17856027 -0.07702015 0.034749616 -0.12704256 -0.6599917 1.1363022 -0.2599497 0.38627478 0.7775426 0.92829937 0.89046735 0.067215495 0.8531762 -0.6055593 -0.4265564 -0.59046566 -0.30003747 0.64257145 -0.2061169 -0.07433616 -0.67921746 -1.1505233 -0.36341766 -0.9256874 -0.48021165 0.9589903 -0.61832213 0.4267595 0.29379442 -0.19451883 -0.29384783 -0.030296227 0.813872 -0.78390545 -0.39121878 0.9346173 0.24805002 0.9747627 0.32780385 -0.29334477 -1.1398597 -0.8903333 -0.5508295 0.31851807 -1.2003677 0.3325527 -0.25177228 -0.80207676 1.1184713 1.0087897 0.69060606 -0.7173291 -0.76738703 1.1482613 -0.76268107 -0.29181534 -0.43291578 -0.69087756 -0.93977535 -0.4032426 0.7506494 -0.044238344 -0.22968674 -0.6906284 -0.859839 0.13455944 0.39058244 -1.1006703 -0.27232015 0.942994 -0.45594501 1.2157816 0.7276469 -0.763232 1.0228788 -1.0023421 -1.1392239 1.0698804 -0.8649297 -0.6394796 0.62665117 0.9883706 0.87098587 -0.12313949 -0.8854763 0.6709679 -0.36496085 -0.55116445 -0.8709313 -0.5287647 0.7447972 -0.36235037 0.6964131 -0.8132636 0.6914893 0.12247643 -0.81738234 -0.26696944 0.8643399 -0.16732731 -0.88991374 0.3026291 -0.8796392 -0.030941457 -0.56478405 -0.37527132 -0.143041 0.40605018 -0.5684686 -1.0099281 -0.22503617 -0.52143854 0.093458 0.93605244 -1.0795779 0.642634 -1.0325344 -0.41734627 -0.74807733 0.77641934 -0.60473907 -0.5989218 0.21476728 -0.95803416 -1.0041658 -0.8461793 -0.5970974 -0.37347063 -0.17982669 0.036127754 0.85758185 -0.7869855 0.31517985 -0.8855201 1.1546398 -0.9815922 -0.18571879 0.8094348 -0.6075778 -0.5800503 -0.9622093 -0.5920034 0.7618539 -1.2336143 0.22641379 -0.017553741 0.7349215 -0.46024206
